# LF_DEM version v3.0-126-gb72fb1a
# np 1000
# VF 0.76
# Lx 73.993
# Ly 0
# Lz 73.993
# flow_type shear
# data in cl units.
#1: time
#2: cumulated strain
#3: shear rate
#4-9: total stress tensor (xx, xy, xz, yz, yy, zz)
#10-15: contact stress tensor (xx, xy, xz, yz, yy, zz)
#16-21: dashpot stress tensor (xx, xy, xz, yz, yy, zz)
#22-27: hydro stress tensor (xx, xy, xz, yz, yy, zz)
#28-33: repulsion stress tensor (xx, xy, xz, yz, yy, zz)

0.0235619 0.000432035 0.0183361 -1.02789 0 0.8 0 0 -0.9043  -1.10633 0 0.546906 0 0 -1.01193  -0.045265 0 0.0197934 0 0 -0.0469011  0.123705 0 0.233301 0 0 0.154536  0 0 0 0 0 0  
2.35619 0.0432433 0.0183805 -0.973422 0 0.8 0 0 -0.891818  -1.05327 0 0.54622 0 0 -1.0041  -0.0414176 0 0.0221978 0 0 -0.0443575  0.121267 0 0.231582 0 0 0.156635  0 0 0 0 0 0  
4.71239 0.0859323 0.0178024 -0.901561 0 0.8 0 0 -0.907732  -0.989117 0 0.557354 0 0 -1.03575  -0.0391443 0 0.0159955 0 0 -0.0401054  0.126701 0 0.22665 0 0 0.168126  0 0 0 0 0 0  
7.06858 0.127218 0.0175108 -0.888314 0 0.8 0 0 -0.959393  -0.962578 0 0.563532 0 0 -1.08127  -0.0402349 0 0.0198151 0 0 -0.0385184  0.1145 0 0.216652 0 0 0.160396  0 0 0 0 0 0  
9.42478 0.168671 0.0177355 -0.884183 0 0.8 0 0 -0.954987  -0.967708 0 0.558265 0 0 -1.07886  -0.0457943 0 0.0208036 0 0 -0.0431258  0.129319 0 0.220931 0 0 0.166998  0 0 0 0 0 0  
11.781 0.209996 0.0172676 -0.922133 0 0.8 0 0 -0.965188  -1.01499 0 0.563498 0 0 -1.08106  -0.051359 0 0.0205337 0 0 -0.0421939  0.144218 0 0.215968 0 0 0.158062  0 0 0 0 0 0  
14.1372 0.251616 0.0179745 -0.969489 0 0.8 0 0 -1.00377  -1.05711 0 0.571349 0 0 -1.10794  -0.0496312 0 0.0212782 0 0 -0.0440288  0.137257 0 0.207373 0 0 0.148201  0 0 0 0 0 0  
16.4934 0.293192 0.0169884 -0.921451 0 0.8 0 0 -1.00572  -1.01476 0 0.569329 0 0 -1.1236  -0.0504165 0 0.0205129 0 0 -0.0419217  0.143728 0 0.210158 0 0 0.159804  0 0 0 0 0 0  
18.8496 0.331647 0.0158488 -0.922516 0 0.8 0 0 -1.03418  -0.99128 0 0.584515 0 0 -1.1458  -0.0423969 0 0.0229524 0 0 -0.0351252  0.111162 0 0.192532 0 0 0.146751  0 0 0 0 0 0  
21.2058 0.36825 0.0153688 -1.00432 0 0.8 0 0 -1.10298  -1.06787 0 0.592429 0 0 -1.21551  -0.0364388 0 0.0204094 0 0 -0.0328386  0.0999835 0 0.187162 0 0 0.145368  0 0 0 0 0 0  
23.5619 0.403782 0.0149555 -1.06106 0 0.8 0 0 -1.13474  -1.12001 0 0.589949 0 0 -1.23522  -0.0336614 0 0.0232889 0 0 -0.0314113  0.0926083 0 0.186762 0 0 0.131893  0 0 0 0 0 0  
25.9181 0.438878 0.0149278 -1.09976 0 0.8 0 0 -1.1858  -1.15947 0 0.586059 0 0 -1.2858  -0.03493 0 0.0229109 0 0 -0.0365118  0.0946441 0 0.19103 0 0 0.136513  0 0 0 0 0 0  
28.2743 0.473843 0.0150151 -1.11018 0 0.8 0 0 -1.23633  -1.17217 0 0.592474 0 0 -1.33463  -0.0316433 0 0.0228565 0 0 -0.0384901  0.0936412 0 0.184669 0 0 0.136789  0 0 0 0 0 0  
30.6305 0.509391 0.0151281 -1.10145 0 0.8 0 0 -1.22775  -1.1582 0 0.593109 0 0 -1.32583  -0.0301498 0 0.0226058 0 0 -0.0355364  0.0869071 0 0.184285 0 0 0.133618  0 0 0 0 0 0  
32.9867 0.544541 0.0147918 -1.0867 0 0.8 0 0 -1.20384  -1.15201 0 0.598846 0 0 -1.30279  -0.0264666 0 0.0231882 0 0 -0.0291417  0.0917767 0 0.177966 0 0 0.128092  0 0 0 0 0 0  
35.3429 0.579228 0.0148018 -1.07319 0 0.8 0 0 -1.16266  -1.14571 0 0.595644 0 0 -1.27393  -0.0216844 0 0.0220351 0 0 -0.0256629  0.0941992 0 0.182321 0 0 0.136933  0 0 0 0 0 0  
37.6991 0.614602 0.0153212 -1.08012 0 0.8 0 0 -1.14953  -1.15377 0 0.586346 0 0 -1.27637  -0.0255487 0 0.0171218 0 0 -0.028737  0.0992002 0 0.196532 0 0 0.155574  0 0 0 0 0 0  
40.0553 0.652419 0.0165808 -1.04862 0 0.8 0 0 -1.09067  -1.13007 0 0.572719 0 0 -1.21524  -0.0306316 0 0.0184362 0 0 -0.0350103  0.112083 0 0.208845 0 0 0.159582  0 0 0 0 0 0  
42.4115 0.691942 0.0169944 -0.983609 0 0.8 0 0 -1.00332  -1.08128 0 0.55954 0 0 -1.13557  -0.0339687 0 0.0191405 0 0 -0.0403324  0.13164 0 0.221319 0 0 0.172581  0 0 0 0 0 0  
44.7677 0.7314 0.0163064 -0.963271 0 0.8 0 0 -1.00134  -1.06546 0 0.55516 0 0 -1.12785  -0.0378462 0 0.0205288 0 0 -0.0469627  0.140032 0 0.224311 0 0 0.173476  0 0 0 0 0 0  
47.1239 0.769486 0.0161055 -1.00395 0 0.8 0 0 -1.04077  -1.09431 0 0.56843 0 0 -1.16962  -0.033546 0 0.0196818 0 0 -0.0424945  0.123905 0 0.211888 0 0 0.171349  0 0 0 0 0 0  
49.4801 0.808373 0.0167067 -1.02819 0 0.8 0 0 -1.0814  -1.10645 0 0.570851 0 0 -1.21143  -0.030507 0 0.0202249 0 0 -0.0400724  0.108773 0 0.208924 0 0 0.170099  0 0 0 0 0 0  
51.8363 0.848574 0.0172265 -1.02137 0 0.8 0 0 -1.08199  -1.09539 0 0.577767 0 0 -1.20467  -0.0291015 0 0.0219077 0 0 -0.0343606  0.103122 0 0.200325 0 0 0.157035  0 0 0 0 0 0  
54.1925 0.889761 0.0176784 -0.960202 0 0.8 0 0 -1.04639  -1.03364 0 0.564786 0 0 -1.16765  -0.0325725 0 0.0214528 0 0 -0.0405498  0.106006 0 0.213761 0 0 0.161812  0 0 0 0 0 0  
