# LF_DEM version v3.0-126-gb72fb1a
# np 1000
# VF 0.76
# Lx 73.993
# Ly 0
# Lz 73.993
# flow_type shear
# data in cl units.
#1: time
#2: cumulated strain
#3: shear rate
#4-9: total stress tensor (xx, xy, xz, yz, yy, zz)
#10-15: contact stress tensor (xx, xy, xz, yz, yy, zz)
#16-21: dashpot stress tensor (xx, xy, xz, yz, yy, zz)
#22-27: hydro stress tensor (xx, xy, xz, yz, yy, zz)
#28-33: repulsion stress tensor (xx, xy, xz, yz, yy, zz)

0.00376991 0.000432035 0.114601 -6.42432 0 5 0 0 -5.65187  -6.91457 0 3.41816 0 0 -6.32459  -0.282906 0 0.123709 0 0 -0.293132  0.773158 0 1.45813 0 0 0.965851  0 0 0 0 0 0  
0.376991 0.0239918 0.0552624 -6.46353 0 5 0 0 -5.83321  -6.67302 0 4.26301 0 0 -6.16784  -0.125697 0 0.0584418 0 0 -0.113201  0.335185 0 0.678552 0 0 0.447831  0 0 0 0 0 0  
0.753982 0.0425138 0.0450245 -7.27356 0 5 0 0 -6.6059  -7.4125 0 4.4304 0 0 -6.82158  -0.0799971 0 0.0601983 0 0 -0.0896352  0.218941 0 0.509406 0 0 0.305314  0 0 0 0 0 0  
1.13097 0.0586372 0.0406732 -7.80097 0 5 0 0 -7.05974  -7.91121 0 4.51245 0 0 -7.23528  -0.0611294 0 0.0554411 0 0 -0.0719896  0.17137 0 0.432104 0 0 0.247527  0 0 0 0 0 0  
1.50796 0.0735055 0.0377041 -8.07645 0 5 0 0 -7.46236  -8.17828 0 4.56311 0 0 -7.62406  -0.0535813 0 0.0508282 0 0 -0.0671621  0.15541 0 0.386059 0 0 0.228859  0 0 0 0 0 0  
1.88496 0.0873929 0.0361852 -8.21861 0 5 0 0 -7.72986  -8.29693 0 4.582 0 0 -7.87489  -0.0541161 0 0.0465817 0 0 -0.0703201  0.132438 0 0.371416 0 0 0.215348  0 0 0 0 0 0  
2.26195 0.100774 0.0349412 -8.20406 0 5 0 0 -8.04021  -8.26655 0 4.60006 0 0 -8.1693  -0.052568 0 0.0498774 0 0 -0.0614146  0.115056 0 0.350065 0 0 0.19051  0 0 0 0 0 0  
2.63894 0.11377 0.0338616 -8.15021 0 5 0 0 -8.16635  -8.20776 0 4.61174 0 0 -8.29167  -0.0553967 0 0.0512264 0 0 -0.0593517  0.112947 0 0.337034 0 0 0.18468  0 0 0 0 0 0  
3.01593 0.126245 0.032223 -8.16738 0 5 0 0 -8.37671  -8.23363 0 4.63455 0 0 -8.50369  -0.0454678 0 0.0512033 0 0 -0.0469643  0.111718 0 0.314251 0 0 0.173942  0 0 0 0 0 0  
3.39292 0.138316 0.0320128 -8.36718 0 5 0 0 -8.56682  -8.42042 0 4.63794 0 0 -8.69228  -0.0490284 0 0.0527841 0 0 -0.0457932  0.102266 0 0.309274 0 0 0.171248  0 0 0 0 0 0  
3.76991 0.150318 0.0313952 -8.38147 0 5 0 0 -8.63083  -8.45994 0 4.64601 0 0 -8.76835  -0.0391153 0 0.0496606 0 0 -0.0377358  0.117581 0 0.30433 0 0 0.175253  0 0 0 0 0 0  
4.1469 0.161386 0.0286928 -8.32619 0 5 0 0 -8.5163  -8.40401 0 4.6779 0 0 -8.64097  -0.031615 0 0.0498626 0 0 -0.0267009  0.109434 0 0.272238 0 0 0.151374  0 0 0 0 0 0  
4.52389 0.171939 0.0274465 -8.33716 0 5 0 0 -8.56237  -8.40552 0 4.68052 0 0 -8.67552  -0.0318966 0 0.0450055 0 0 -0.0346859  0.10026 0 0.274472 0 0 0.147844  0 0 0 0 0 0  
4.90088 0.18212 0.0260213 -8.48562 0 5 0 0 -8.48033  -8.56638 0 4.69377 0 0 -8.58837  -0.0295233 0 0.0387932 0 0 -0.0225379  0.110284 0 0.267432 0 0 0.130585  0 0 0 0 0 0  
5.27788 0.191484 0.024174 -8.6072 0 5 0 0 -8.4026  -8.68039 0 4.71962 0 0 -8.49841  -0.0258128 0 0.0372431 0 0 -0.0220106  0.0990045 0 0.243134 0 0 0.117814  0 0 0 0 0 0  
5.65487 0.200941 0.0250629 -8.67333 0 5 0 0 -8.33519  -8.76664 0 4.70182 0 0 -8.44741  -0.0188468 0 0.037538 0 0 -0.0180607  0.112158 0 0.260642 0 0 0.13028  0 0 0 0 0 0  
6.03186 0.210308 0.0250224 -8.71236 0 5 0 0 -8.19253  -8.81074 0 4.69248 0 0 -8.31247  -0.0158363 0 0.0407363 0 0 -0.0215261  0.114208 0 0.266779 0 0 0.141468  0 0 0 0 0 0  
6.40885 0.219807 0.0258136 -8.77905 0 5 0 0 -8.22724  -8.87913 0 4.67896 0 0 -8.34953  -0.0179493 0 0.0426152 0 0 -0.0287955  0.11803 0 0.278427 0 0 0.151085  0 0 0 0 0 0  
6.78584 0.229606 0.0255131 -8.72708 0 5 0 0 -8.1822  -8.83109 0 4.69651 0 0 -8.30776  -0.0203389 0 0.0428336 0 0 -0.02951  0.124352 0 0.260658 0 0 0.155064  0 0 0 0 0 0  
7.16283 0.2396 0.0279552 -8.61918 0 5 0 0 -8.13806  -8.7302 0 4.66183 0 0 -8.28645  -0.0220043 0 0.046791 0 0 -0.029982  0.133022 0 0.291379 0 0 0.178372  0 0 0 0 0 0  
7.53982 0.250048 0.0281443 -8.45901 0 5 0 0 -8.17242  -8.54681 0 4.66772 0 0 -8.30446  -0.0301157 0 0.0486547 0 0 -0.0270907  0.11791 0 0.283628 0 0 0.159129  0 0 0 0 0 0  
7.91681 0.260652 0.0274501 -8.28762 0 5 0 0 -8.36745  -8.36871 0 4.68526 0 0 -8.48851  -0.0311305 0 0.0485607 0 0 -0.024816  0.11222 0 0.266184 0 0 0.145873  0 0 0 0 0 0  
8.2938 0.27088 0.0275599 -8.23112 0 5 0 0 -8.4813  -8.31097 0 4.67783 0 0 -8.59907  -0.0367463 0 0.0486816 0 0 -0.0325669  0.1166 0 0.273491 0 0 0.150338  0 0 0 0 0 0  
8.6708 0.28145 0.0288818 -8.10636 0 5 0 0 -8.43871  -8.19536 0 4.65266 0 0 -8.56466  -0.0372161 0 0.0524848 0 0 -0.0313493  0.126214 0 0.294856 0 0 0.157296  0 0 0 0 0 0  
9.04779 0.292251 0.0284346 -8.10832 0 5 0 0 -8.62092  -8.19229 0 4.66443 0 0 -8.7451  -0.0328872 0 0.0493847 0 0 -0.0319772  0.116856 0 0.28618 0 0 0.156157  0 0 0 0 0 0  
9.42478 0.302916 0.0282534 -8.15425 0 5 0 0 -8.96234  -8.22229 0 4.66765 0 0 -9.07432  -0.0293032 0 0.0506974 0 0 -0.0237592  0.0973379 0 0.281657 0 0 0.135745  0 0 0 0 0 0  
9.80177 0.313623 0.0284195 -8.32353 0 5 0 0 -9.13427  -8.38121 0 4.67333 0 0 -9.22377  -0.0300443 0 0.0513571 0 0 -0.0225902  0.0877181 0 0.275315 0 0 0.112086  0 0 0 0 0 0  
10.1788 0.324285 0.0278116 -8.40509 0 5 0 0 -9.1826  -8.45739 0 4.6943 0 0 -9.2731  -0.0316927 0 0.0491366 0 0 -0.0223468  0.0839922 0 0.256561 0 0 0.112848  0 0 0 0 0 0  
