# LF_DEM version v3.0-126-gb72fb1a
# np 1000
# VF 0.76
# Lx 73.993
# Ly 0
# Lz 73.993
# flow_type shear
# data in cl units.
#1: time
#2: cumulated strain
#3: shear rate
#4-9: total stress tensor (xx, xy, xz, yz, yy, zz)
#10-15: contact stress tensor (xx, xy, xz, yz, yy, zz)
#16-21: dashpot stress tensor (xx, xy, xz, yz, yy, zz)
#22-27: hydro stress tensor (xx, xy, xz, yz, yy, zz)
#28-33: repulsion stress tensor (xx, xy, xz, yz, yy, zz)

0.0942478 0.000421159 0.00446864 -0.254589 0 0.2 0 0 -0.229637  -0.28126 0 0.139434 0 0 -0.273724  -0.00776385 0 0.00479505 0 0 -0.00847319  0.0344347 0 0.0557714 0 0 0.05256  0 0 0 0 0 0  
9.42478 0.0425201 0.00458006 -0.237617 0 0.2 0 0 -0.208936  -0.267678 0 0.131643 0 0 -0.257047  -0.00922716 0 0.00436405 0 0 -0.0105918  0.0392874 0 0.0639928 0 0 0.0587031  0 0 0 0 0 0  
18.8496 0.0857783 0.00455002 -0.239455 0 0.2 0 0 -0.204397  -0.26617 0 0.1319 0 0 -0.250811  -0.00914477 0 0.00496828 0 0 -0.0121271  0.0358598 0 0.0631316 0 0 0.0585412  0 0 0 0 0 0  
28.2743 0.128393 0.00452218 -0.257324 0 0.2 0 0 -0.214238  -0.275067 0 0.134698 0 0 -0.256006  -0.00949634 0 0.00526065 0 0 -0.0110603  0.0272392 0 0.0600412 0 0 0.0528285  0 0 0 0 0 0  
37.6991 0.171346 0.00449882 -0.257391 0 0.2 0 0 -0.209412  -0.276627 0 0.136141 0 0 -0.251549  -0.0101547 0 0.00510885 0 0 -0.0111792  0.0293909 0 0.0587497 0 0 0.0533163  0 0 0 0 0 0  
47.1239 0.212924 0.00444516 -0.254404 0 0.2 0 0 -0.206156  -0.277684 0 0.135635 0 0 -0.248159  -0.0103704 0 0.00417193 0 0 -0.0109711  0.0336502 0 0.0601927 0 0 0.0529739  0 0 0 0 0 0  
56.5487 0.254362 0.00438617 -0.25881 0 0.2 0 0 -0.208218  -0.280766 0 0.137279 0 0 -0.247204  -0.0101789 0 0.00530713 0 0 -0.0114249  0.0321341 0 0.0574139 0 0 0.0504111  0 0 0 0 0 0  
65.9734 0.295094 0.00426175 -0.265921 0 0.2 0 0 -0.209081  -0.287821 0 0.140119 0 0 -0.246181  -0.00984285 0 0.00458234 0 0 -0.00951265  0.0317421 0 0.0552987 0 0 0.0466124  0 0 0 0 0 0  
75.3982 0.33407 0.00413576 -0.28294 0 0.2 0 0 -0.227404  -0.30196 0 0.14284 0 0 -0.258276  -0.00943558 0 0.00496017 0 0 -0.00918211  0.0284546 0 0.0521998 0 0 0.0400544  0 0 0 0 0 0  
84.823 0.373091 0.00421471 -0.293622 0 0.2 0 0 -0.248403  -0.309965 0 0.143941 0 0 -0.274348  -0.00806705 0 0.00562649 0 0 -0.00777033  0.02441 0 0.0504329 0 0 0.0337156  0 0 0 0 0 0  
94.2478 0.41324 0.00426729 -0.286129 0 0.2 0 0 -0.261066  -0.303513 0 0.14317 0 0 -0.284549  -0.00767387 0 0.00601823 0 0 -0.00740331  0.0250579 0 0.0508121 0 0 0.0308855  0 0 0 0 0 0  
103.673 0.453171 0.00419914 -0.283498 0 0.2 0 0 -0.273979  -0.300314 0 0.144535 0 0 -0.294222  -0.00725617 0 0.00651138 0 0 -0.00734348  0.0240719 0 0.048954 0 0 0.0275865  0 0 0 0 0 0  
113.097 0.492267 0.00409246 -0.29896 0 0.2 0 0 -0.277976  -0.313298 0 0.146128 0 0 -0.301333  -0.00794291 0 0.00611366 0 0 -0.00797392  0.0222815 0 0.0477582 0 0 0.0313315  0 0 0 0 0 0  
122.522 0.530327 0.00398759 -0.311936 0 0.2 0 0 -0.277225  -0.327462 0 0.149799 0 0 -0.301623  -0.0061029 0 0.00561294 0 0 -0.00440166  0.0216285 0 0.0445877 0 0 0.0288001  0 0 0 0 0 0  
131.947 0.567968 0.00403993 -0.315607 0 0.2 0 0 -0.277681  -0.334195 0 0.148006 0 0 -0.303028  -0.00601897 0 0.00528536 0 0 -0.00541612  0.0246065 0 0.0467087 0 0 0.0307625  0 0 0 0 0 0  
141.372 0.607012 0.00423495 -0.288049 0 0.2 0 0 -0.25043  -0.310306 0 0.143684 0 0 -0.283339  -0.00646748 0 0.00534323 0 0 -0.00748419  0.0287245 0 0.0509726 0 0 0.0403929  0 0 0 0 0 0  
150.796 0.647493 0.0043169 -0.267839 0 0.2 0 0 -0.232308  -0.292432 0 0.14005 0 0 -0.267725  -0.00879692 0 0.00595038 0 0 -0.00827593  0.0333898 0 0.054 0 0 0.0436935  0 0 0 0 0 0  
160.221 0.688368 0.00433609 -0.269014 0 0.2 0 0 -0.228549  -0.291852 0 0.140835 0 0 -0.264136  -0.00944439 0 0.0063 0 0 -0.00868207  0.0322826 0 0.0528649 0 0 0.0442691  0 0 0 0 0 0  
169.646 0.728924 0.0042859 -0.2669 0 0.2 0 0 -0.22381  -0.294163 0 0.141057 0 0 -0.26271  -0.00931007 0 0.00482989 0 0 -0.0104219  0.0365734 0 0.0541135 0 0 0.0493216  0 0 0 0 0 0  
179.071 0.769963 0.00441884 -0.260385 0 0.2 0 0 -0.218078  -0.289069 0 0.140267 0 0 -0.257805  -0.0107028 0 0.0037633 0 0 -0.0121207  0.0393872 0 0.0559698 0 0 0.0518471  0 0 0 0 0 0  
188.496 0.81276 0.00467133 -0.26526 0 0.2 0 0 -0.211244  -0.291403 0 0.137609 0 0 -0.251469  -0.011878 0 0.00452849 0 0 -0.0101993  0.0380209 0 0.0578624 0 0 0.0504245  0 0 0 0 0 0  
197.92 0.857637 0.0048482 -0.275172 0 0.2 0 0 -0.201899  -0.300568 0 0.133743 0 0 -0.24427  -0.0125606 0 0.0042534 0 0 -0.012058  0.0379564 0 0.0620039 0 0 0.0544284  0 0 0 0 0 0  
207.345 0.902798 0.00478097 -0.276592 0 0.2 0 0 -0.19686  -0.301555 0 0.132769 0 0 -0.233798  -0.0108957 0 0.00455876 0 0 -0.0117381  0.0358578 0 0.0626724 0 0 0.0486755  0 0 0 0 0 0  
216.77 0.947336 0.00471323 -0.27265 0 0.2 0 0 -0.198878  -0.297473 0 0.135243 0 0 -0.233511  -0.00953949 0 0.00476652 0 0 -0.0107525  0.0343623 0 0.0599906 0 0 0.0453865  0 0 0 0 0 0  
226.195 0.991454 0.00465196 -0.258534 0 0.2 0 0 -0.204254  -0.285 0 0.13323 0 0 -0.239865  -0.0124426 0 0.00428211 0 0 -0.0114147  0.0389087 0 0.0624877 0 0 0.047026  0 0 0 0 0 0  
235.619 1.03468 0.00452447 -0.24761 0 0.2 0 0 -0.215732  -0.272518 0 0.132006 0 0 -0.248557  -0.0125894 0 0.0049904 0 0 -0.0132355  0.0374976 0 0.0630035 0 0 0.0460611  0 0 0 0 0 0  
245.044 1.07648 0.00430629 -0.247565 0 0.2 0 0 -0.231361  -0.271285 0 0.136386 0 0 -0.263889  -0.0116432 0 0.00472278 0 0 -0.0125351  0.0353624 0 0.0588909 0 0 0.045063  0 0 0 0 0 0  
254.469 1.11719 0.00435778 -0.252002 0 0.2 0 0 -0.245204  -0.273593 0 0.139221 0 0 -0.277013  -0.0101454 0 0.00384903 0 0 -0.0107053  0.031737 0 0.0569296 0 0 0.042514  0 0 0 0 0 0  
263.894 1.15885 0.00448639 -0.253696 0 0.2 0 0 -0.244797  -0.273192 0 0.138863 0 0 -0.274654  -0.0106206 0 0.00463256 0 0 -0.01088  0.0301161 0 0.0565046 0 0 0.0407369  0 0 0 0 0 0  
273.319 1.20185 0.00461638 -0.250355 0 0.2 0 0 -0.231448  -0.27334 0 0.136815 0 0 -0.264588  -0.0126166 0 0.00324726 0 0 -0.0113247  0.0356014 0 0.0599379 0 0 0.0444649  0 0 0 0 0 0  
282.743 1.24465 0.00449579 -0.262497 0 0.2 0 0 -0.232282  -0.287882 0 0.138419 0 0 -0.263788  -0.0125238 0 0.00427635 0 0 -0.011468  0.0379088 0 0.0573045 0 0 0.0429746  0 0 0 0 0 0  
292.168 1.28748 0.00460215 -0.265906 0 0.2 0 0 -0.230372  -0.293913 0 0.13888 0 0 -0.263109  -0.0117836 0 0.0037096 0 0 -0.01068  0.03979 0 0.0574101 0 0 0.0434172  0 0 0 0 0 0  
301.593 1.3308 0.00458854 -0.254555 0 0.2 0 0 -0.218671  -0.283299 0 0.137317 0 0 -0.250599  -0.0123318 0 0.00424786 0 0 -0.0113247  0.0410751 0 0.0584348 0 0 0.0432522  0 0 0 0 0 0  
311.018 1.37362 0.00442591 -0.24141 0 0.2 0 0 -0.211502  -0.26456 0 0.137087 0 0 -0.24533  -0.0109822 0 0.00551921 0 0 -0.0101282  0.0341313 0 0.0573936 0 0 0.0439563  0 0 0 0 0 0  
320.442 1.41643 0.0046312 -0.245091 0 0.2 0 0 -0.219846  -0.26483 0 0.136543 0 0 -0.254711  -0.0106781 0 0.00501292 0 0 -0.0108612  0.0304164 0 0.058444 0 0 0.0457254  0 0 0 0 0 0  
329.867 1.46079 0.0047391 -0.250731 0 0.2 0 0 -0.228872  -0.267358 0 0.136885 0 0 -0.260966  -0.010889 0 0.00574174 0 0 -0.0113242  0.027516 0 0.0573735 0 0 0.0434187  0 0 0 0 0 0  
339.292 1.50546 0.00471386 -0.256391 0 0.2 0 0 -0.23818  -0.275162 0 0.13714 0 0 -0.26773  -0.0117531 0 0.00602854 0 0 -0.011129  0.0305246 0 0.0568316 0 0 0.0406788  0 0 0 0 0 0  
348.717 1.5495 0.00467111 -0.255033 0 0.2 0 0 -0.250658  -0.275472 0 0.136531 0 0 -0.275963  -0.0103615 0 0.00638732 0 0 -0.0117342  0.0308009 0 0.0570815 0 0 0.0370391  0 0 0 0 0 0  
358.142 1.59319 0.00457766 -0.2497 0 0.2 0 0 -0.254986  -0.271202 0 0.13893 0 0 -0.279874  -0.00944127 0 0.00592839 0 0 -0.012409  0.0309425 0 0.0551417 0 0 0.0372962  0 0 0 0 0 0  
367.566 1.6357 0.00448275 -0.247628 0 0.2 0 0 -0.259855  -0.271673 0 0.1386 0 0 -0.282087  -0.0101716 0 0.00529862 0 0 -0.0125663  0.034217 0 0.0561015 0 0 0.0347978  0 0 0 0 0 0  
376.991 1.67781 0.00444554 -0.248504 0 0.2 0 0 -0.261576  -0.272614 0 0.139184 0 0 -0.287581  -0.00984529 0 0.00539126 0 0 -0.0126242  0.0339557 0 0.0554244 0 0 0.0386283  0 0 0 0 0 0  
386.416 1.71945 0.0044747 -0.255341 0 0.2 0 0 -0.267726  -0.276231 0 0.140038 0 0 -0.292742  -0.00870657 0 0.00556617 0 0 -0.0113638  0.0295962 0 0.0543958 0 0 0.0363797  0 0 0 0 0 0  
395.841 1.76259 0.00467876 -0.243692 0 0.2 0 0 -0.255338  -0.267255 0 0.138764 0 0 -0.281817  -0.0100678 0 0.00579347 0 0 -0.0112116  0.0336311 0 0.0554427 0 0 0.0376911  0 0 0 0 0 0  
405.265 1.8073 0.00477463 -0.225949 0 0.2 0 0 -0.235731  -0.252812 0 0.136935 0 0 -0.268205  -0.0107014 0 0.006175 0 0 -0.0128216  0.0375639 0 0.0568904 0 0 0.0452951  0 0 0 0 0 0  
414.69 1.85268 0.00485453 -0.216552 0 0.2 0 0 -0.225076  -0.23911 0 0.136331 0 0 -0.25932  -0.00878743 0 0.00610428 0 0 -0.011641  0.0313453 0 0.0575651 0 0 0.0458859  0 0 0 0 0 0  
424.115 1.89808 0.00478903 -0.208995 0 0.2 0 0 -0.225607  -0.234672 0 0.132609 0 0 -0.259774  -0.0115651 0 0.00617194 0 0 -0.0120685  0.0372419 0 0.0612186 0 0 0.0462355  0 0 0 0 0 0  
433.54 1.9421 0.00450093 -0.202753 0 0.2 0 0 -0.233411  -0.229278 0 0.132099 0 0 -0.267552  -0.0113346 0 0.00673686 0 0 -0.0110513  0.0378597 0 0.0611643 0 0 0.0451922  0 0 0 0 0 0  
442.965 1.98472 0.00451014 -0.211207 0 0.2 0 0 -0.244593  -0.237042 0 0.137555 0 0 -0.277899  -0.00935691 0 0.00549477 0 0 -0.0087571  0.0351921 0 0.0569503 0 0 0.0420632  0 0 0 0 0 0  
452.389 2.02695 0.00445957 -0.227042 0 0.2 0 0 -0.255922  -0.248695 0 0.139793 0 0 -0.285572  -0.0094973 0 0.00473079 0 0 -0.00948227  0.0311501 0 0.055476 0 0 0.0391324  0 0 0 0 0 0  
