# LF_DEM version v3.0-126-gb72fb1a
# np 1000
# VF 0.76
# Lx 73.993
# Ly 0
# Lz 73.993
# flow_type shear
# data in cl units.
#1: time
#2: cumulated strain
#3: shear rate
#4-9: total stress tensor (xx, xy, xz, yz, yy, zz)
#10-15: contact stress tensor (xx, xy, xz, yz, yy, zz)
#16-21: dashpot stress tensor (xx, xy, xz, yz, yy, zz)
#22-27: hydro stress tensor (xx, xy, xz, yz, yy, zz)
#28-33: repulsion stress tensor (xx, xy, xz, yz, yy, zz)

0.000188496 0.000421159 2.23432 -127.295 0 100 0 0 -114.819  -140.63 0 69.7168 0 0 -136.862  -3.88193 0 2.39752 0 0 -4.2366  17.2173 0 27.8857 0 0 26.28  0 0 0 0 0 0  
0.0188496 0.014363 0.588293 -127.353 0 100 0 0 -130.742  -130.484 0 91.823 0 0 -135.969  -0.947667 0 0.713822 0 0 -0.787957  4.07834 0 7.46315 0 0 6.01465  0 0 0 0 0 0  
0.0376991 0.0246187 0.506228 -143.134 0 100 0 0 -146.805  -145.421 0 93.3837 0 0 -150.641  -0.948426 0 0.598701 0 0 -0.695355  3.2354 0 6.01756 0 0 4.5315  0 0 0 0 0 0  
0.0565487 0.0336111 0.457759 -154.761 0 100 0 0 -161.348  -156.235 0 94.3336 0 0 -164.083  -0.683833 0 0.662704 0 0 -0.52366  2.15733 0 5.0037 0 0 3.25886  0 0 0 0 0 0  
0.0753982 0.0417598 0.40134 -164.995 0 100 0 0 -175.108  -166.128 0 95.2874 0 0 -176.982  -0.611651 0 0.66212 0 0 -0.367196  1.74472 0 4.0505 0 0 2.24118  0 0 0 0 0 0  
0.0942478 0.0490113 0.366001 -173.948 0 100 0 0 -186.191  -174.839 0 95.9276 0 0 -187.804  -0.466225 0 0.584259 0 0 -0.210475  1.35733 0 3.48811 0 0 1.82389  0 0 0 0 0 0  
0.113097 0.0554261 0.328465 -182.059 0 100 0 0 -196.09  -182.734 0 96.4516 0 0 -197.343  -0.384643 0 0.520944 0 0 -0.109756  1.05975 0 3.02743 0 0 1.3631  0 0 0 0 0 0  
0.131947 0.0613273 0.301483 -189.105 0 100 0 0 -202.741  -189.634 0 96.8063 0 0 -203.756  -0.357643 0 0.474755 0 0 -0.136527  0.886718 0 2.71895 0 0 1.15118  0 0 0 0 0 0  
0.150796 0.0669183 0.290687 -194.368 0 100 0 0 -207.733  -194.855 0 97.0487 0 0 -208.658  -0.286109 0 0.453366 0 0 -0.10763  0.772816 0 2.49794 0 0 1.03208  0 0 0 0 0 0  
0.169646 0.0722901 0.282778 -199.544 0 100 0 0 -211.75  -200.01 0 97.0315 0 0 -212.751  -0.311784 0 0.433952 0 0 -0.133883  0.777755 0 2.53459 0 0 1.13533  0 0 0 0 0 0  
