# LF_DEM version v3.0-126-gb72fb1a
# np 1000
# VF 0.8
# Lx 72.1195
# Ly 0
# Lz 72.1195
# flow_type shear
# data in cl units.
#1: time
#2: cumulated strain
#3: shear rate
#4-9: total stress tensor (xx, xy, xz, yz, yy, zz)
#10-15: contact stress tensor (xx, xy, xz, yz, yy, zz)
#16-21: dashpot stress tensor (xx, xy, xz, yz, yy, zz)
#22-27: hydro stress tensor (xx, xy, xz, yz, yy, zz)
#28-33: repulsion stress tensor (xx, xy, xz, yz, yy, zz)

0.00188496 0.000180912 0.095977 -20.2253 0 10 0 0 -20.8404  -20.9065 0 8.45234 0 0 -21.7367  -0.115477 0 0.201829 0 0 -0.165737  0.796719 0 1.34583 0 0 1.0621  0 0 0 0 0 0  
0.188496 0.00516832 0.0180841 -19.5105 0 10 0 0 -21.4264  -19.6143 0 9.73108 0 0 -21.5658  -0.00554109 0 0.0393774 0 0 -0.0156704  0.109346 0 0.229546 0 0 0.15506  0 0 0 0 0 0  
0.376991 0.00797239 0.0126311 -19.8483 0 10 0 0 -22.4182  -19.9159 0 9.81425 0 0 -22.5098  -0.00421848 0 0.0260286 0 0 -0.0101263  0.0718651 0 0.159723 0 0 0.101757  0 0 0 0 0 0  
0.565487 0.010284 0.0110741 -20.3901 0 10 0 0 -23.2495  -20.446 0 9.83784 0 0 -23.3233  -0.00554792 0 0.0225521 0 0 -0.00665918  0.0613736 0 0.139605 0 0 0.080474  0 0 0 0 0 0  
0.753982 0.012166 0.00893197 -20.9497 0 10 0 0 -23.9643  -20.99 0 9.87043 0 0 -24.0192  -0.0057701 0 0.0184918 0 0 -0.00599111  0.0460184 0 0.111076 0 0 0.0609478  0 0 0 0 0 0  
0.942478 0.0137712 0.00839322 -21.4022 0 10 0 0 -24.4408  -21.4383 0 9.88401 0 0 -24.4942  -0.00500327 0 0.0175538 0 0 -0.00316322  0.0411058 0 0.0984371 0 0 0.0565758  0 0 0 0 0 0  
1.13097 0.0152334 0.00714688 -21.8655 0 10 0 0 -24.8248  -21.8938 0 9.90307 0 0 -24.8705  -0.00488263 0 0.0144336 0 0 -0.00160734  0.0331767 0 0.0824964 0 0 0.047354  0 0 0 0 0 0  
1.31947 0.016505 0.00646961 -22.1551 0 10 0 0 -25.101  -22.1804 0 9.91423 0 0 -25.1391  -0.0034983 0 0.0134676 0 0 -0.000800492  0.0288292 0 0.0722979 0 0 0.0388964  0 0 0 0 0 0  
1.50796 0.0176922 0.00653286 -22.5217 0 10 0 0 -25.379  -22.5469 0 9.91392 0 0 -25.4128  -0.00353628 0 0.0136461 0 0 -0.00281411  0.0287544 0 0.072432 0 0 0.036632  0 0 0 0 0 0  
1.69646 0.0188755 0.00571766 -22.8634 0 10 0 0 -25.5527  -22.8855 0 9.92448 0 0 -25.5839  -0.00239253 0 0.0119386 0 0 -0.0023819  0.0244665 0 0.0635858 0 0 0.0336544  0 0 0 0 0 0  
1.88496 0.0199573 0.00567346 -23.1785 0 10 0 0 -25.7512  -23.2014 0 9.92476 0 0 -25.7824  -0.00294242 0 0.0115204 0 0 -0.00276293  0.0258829 0 0.0637148 0 0 0.0339676  0 0 0 0 0 0  
2.07345 0.021031 0.00558418 -23.4167 0 10 0 0 -26.1631  -23.4403 0 9.92701 0 0 -26.1948  -0.00335446 0 0.0113574 0 0 -0.00242036  0.0269512 0 0.0616343 0 0 0.0341611  0 0 0 0 0 0  
2.26195 0.02195 0.00455179 -23.6986 0 10 0 0 -26.4101  -23.7169 0 9.94123 0 0 -26.4356  -0.00320132 0 0.00942185 0 0 -0.00169957  0.0214925 0 0.0493473 0 0 0.027222  0 0 0 0 0 0  
2.45044 0.0227614 0.00410973 -23.9441 0 10 0 0 -26.5829  -23.9592 0 9.94677 0 0 -26.6045  -0.00194933 0 0.00884915 0 0 -0.000610161  0.0171286 0 0.0443852 0 0 0.0222471  0 0 0 0 0 0  
2.63894 0.023504 0.00381899 -24.2232 0 10 0 0 -26.6527  -24.2364 0 9.95103 0 0 -26.6722  -0.00191836 0 0.00823091 0 0 -0.000584696  0.0151717 0 0.040736 0 0 0.0200732  0 0 0 0 0 0  
2.82743 0.0241532 0.00332154 -24.5511 0 10 0 0 -26.7668  -24.5615 0 9.95682 0 0 -26.7837  -0.00209817 0 0.00720261 0 0 -0.000827266  0.0124332 0 0.0359823 0 0 0.0176755  0 0 0 0 0 0  
