# LF_DEM version v3.0-126-gb72fb1a
# np 1000
# VF 0.8
# Lx 72.1195
# Ly 0
# Lz 72.1195
# flow_type shear
# data in cl units.
#1: time
#2: cumulated strain
#3: shear rate
#4-9: total stress tensor (xx, xy, xz, yz, yy, zz)
#10-15: contact stress tensor (xx, xy, xz, yz, yy, zz)
#16-21: dashpot stress tensor (xx, xy, xz, yz, yy, zz)
#22-27: hydro stress tensor (xx, xy, xz, yz, yy, zz)
#28-33: repulsion stress tensor (xx, xy, xz, yz, yy, zz)

0.0188496 0.000214075 0.011357 -2.30402 0 1 0 0 -2.2038  -2.36586 0 0.836828 0 0 -2.29812  -0.00498425 0 0.0233658 0 0 -0.00775321  0.0668246 0 0.139806 0 0 0.102068  0 0 0 0 0 0  
1.88496 0.0197196 0.0105036 -2.20722 0 1 0 0 -2.1143  -2.28176 0 0.843731 0 0 -2.19613  -0.00842528 0 0.0210425 0 0 -0.00751968  0.0829637 0 0.135227 0 0 0.0893487  0 0 0 0 0 0  
3.76991 0.0396219 0.0105568 -2.0876 0 1 0 0 -2.02778  -2.16879 0 0.83804 0 0 -2.1112  -0.00919978 0 0.0208684 0 0 -0.00644074  0.0903917 0 0.141091 0 0 0.0898618  0 0 0 0 0 0  
5.65487 0.0594929 0.0107567 -2.00511 0 1 0 0 -1.96063  -2.09094 0 0.825339 0 0 -2.05717  -0.0118445 0 0.0230185 0 0 -0.0083194  0.097679 0 0.151643 0 0 0.104857  0 0 0 0 0 0  
7.53982 0.0796961 0.0108196 -1.96704 0 1 0 0 -1.92701  -2.04224 0 0.82087 0 0 -2.01598  -0.0138571 0 0.0256448 0 0 -0.00787404  0.0890614 0 0.153485 0 0 0.0968485  0 0 0 0 0 0  
9.42478 0.100163 0.0107898 -1.97178 0 1 0 0 -1.9177  -2.03812 0 0.815542 0 0 -2.00211  -0.016093 0 0.0268665 0 0 -0.0113291  0.0824307 0 0.157592 0 0 0.0957353  0 0 0 0 0 0  
11.3097 0.120865 0.0108567 -1.96603 0 1 0 0 -1.84435  -2.04463 0 0.819892 0 0 -1.94495  -0.0145142 0 0.0240088 0 0 -0.00901949  0.0931111 0 0.156099 0 0 0.10962  0 0 0 0 0 0  
13.1947 0.140777 0.0102795 -1.96655 0 1 0 0 -1.80298  -2.03053 0 0.834724 0 0 -1.88746  -0.0121597 0 0.0262887 0 0 -0.00718223  0.0761445 0 0.138988 0 0 0.0916618  0 0 0 0 0 0  
15.0796 0.15944 0.00948609 -2.00853 0 1 0 0 -1.7879  -2.08382 0 0.837438 0 0 -1.87127  -0.0120856 0 0.0230971 0 0 -0.00842514  0.0873781 0 0.139465 0 0 0.0917943  0 0 0 0 0 0  
16.9646 0.176844 0.00905647 -2.09528 0 1 0 0 -1.85525  -2.15928 0 0.852353 0 0 -1.93317  -0.00846193 0 0.0215692 0 0 -0.00832748  0.0724666 0 0.126078 0 0 0.0862464  0 0 0 0 0 0  
18.8496 0.193764 0.00885772 -2.14498 0 1 0 0 -1.92049  -2.20284 0 0.859634 0 0 -1.99245  -0.00549587 0 0.0214147 0 0 -0.0063657  0.063347 0 0.118951 0 0 0.0783268  0 0 0 0 0 0  
20.7345 0.210169 0.00858574 -2.15289 0 1 0 0 -1.97532  -2.20441 0 0.868457 0 0 -2.04161  -0.00425718 0 0.0207003 0 0 -0.00831809  0.0557738 0 0.110842 0 0 0.0746153  0 0 0 0 0 0  
22.6195 0.226387 0.00865474 -2.14333 0 1 0 0 -2.01406  -2.1983 0 0.868864 0 0 -2.07722  -0.00305042 0 0.0200111 0 0 -0.00612621  0.0580152 0 0.111125 0 0 0.0692887  0 0 0 0 0 0  
24.5044 0.242856 0.00890748 -2.16955 0 1 0 0 -2.0415  -2.23079 0 0.863008 0 0 -2.10611  -0.00451404 0 0.0215053 0 0 -0.00690573  0.0657555 0 0.115487 0 0 0.0715176  0 0 0 0 0 0  
26.3894 0.259931 0.00922975 -2.16157 0 1 0 0 -2.0445  -2.22079 0 0.865992 0 0 -2.10737  -0.00328181 0 0.021186 0 0 -0.00727033  0.0625009 0 0.112822 0 0 0.0701445  0 0 0 0 0 0  
28.2743 0.27773 0.00956725 -2.12842 0 1 0 0 -2.06542  -2.18489 0 0.859861 0 0 -2.12611  -0.00628235 0 0.0226282 0 0 -0.00718582  0.0627588 0 0.117511 0 0 0.0678759  0 0 0 0 0 0  
30.1593 0.295726 0.00920269 -2.05897 0 1 0 0 -2.04545  -2.11153 0 0.85879 0 0 -2.11355  -0.00791982 0 0.0237963 0 0 -0.011512  0.0604783 0 0.117413 0 0 0.0796152  0 0 0 0 0 0  
32.0442 0.312013 0.00818458 -1.99393 0 1 0 0 -2.0517  -2.03991 0 0.873175 0 0 -2.11759  -0.00622786 0 0.0207106 0 0 -0.00927278  0.052206 0 0.106115 0 0 0.0751576  0 0 0 0 0 0  
33.9292 0.326834 0.00751913 -1.9624 0 1 0 0 -2.07843  -2.00142 0 0.887764 0 0 -2.13189  -0.00631708 0 0.0187065 0 0 -0.00611271  0.045339 0 0.0935298 0 0 0.0595795  0 0 0 0 0 0  
35.8142 0.340744 0.00725834 -1.94004 0 1 0 0 -2.11372  -1.97444 0 0.894787 0 0 -2.16602  -0.00532196 0 0.0163325 0 0 -0.00299174  0.0397294 0 0.0888802 0 0 0.0552961  0 0 0 0 0 0  
37.6991 0.354426 0.0072474 -1.91668 0 1 0 0 -2.13576  -1.94734 0 0.896242 0 0 -2.1852  -0.00491783 0 0.0156961 0 0 -0.00388812  0.035581 0 0.0880622 0 0 0.0533276  0 0 0 0 0 0  
39.5841 0.368067 0.00718231 -1.88538 0 1 0 0 -2.14627  -1.92157 0 0.893434 0 0 -2.19939  -0.00325298 0 0.0162117 0 0 -0.00237929  0.0394386 0 0.0903545 0 0 0.0554969  0 0 0 0 0 0  
41.469 0.381116 0.00695707 -1.91882 0 1 0 0 -2.22958  -1.95299 0 0.897269 0 0 -2.27639  -0.000819965 0 0.016703 0 0 -0.00222382  0.0349851 0 0.0860277 0 0 0.0490349  0 0 0 0 0 0  
43.354 0.394391 0.0071795 -1.99195 0 1 0 0 -2.32681  -2.02415 0 0.899417 0 0 -2.37251  -0.00538 0 0.0165343 0 0 -0.00163536  0.0375725 0 0.0840482 0 0 0.0473277  0 0 0 0 0 0  
45.2389 0.408426 0.00762951 -2.02502 0 1 0 0 -2.34993  -2.05048 0 0.895904 0 0 -2.39335  -0.00734532 0 0.0174697 0 0 -0.00153248  0.0328077 0 0.0866266 0 0 0.0449573  0 0 0 0 0 0  
47.1239 0.423186 0.0079216 -2.00851 0 1 0 0 -2.31402  -2.0372 0 0.89243 0 0 -2.35869  -0.00778726 0 0.0184885 0 0 -0.00258545  0.0364792 0 0.0890813 0 0 0.0472557  0 0 0 0 0 0  
49.0088 0.438008 0.00784815 -1.96891 0 1 0 0 -2.26933  -2.00791 0 0.892663 0 0 -2.31541  -0.00561157 0 0.0178013 0 0 -0.00119718  0.0446115 0 0.0895354 0 0 0.0472731  0 0 0 0 0 0  
